10m Pilot Boat,,,,,,,,,,,
Orca3D Weight and Cost Report,,,,,,,,,,,
Landing School,,,,,,,,,,,
Report Time: 3/31/2011 3:54:29 PM,,,,,,,,,,,
,,,,,,,,,,,
Model Name: C:\Documents and Settings\lab2\Micha\Assignments\09 - Pilot Boat\drawings\Niskin Pilot Boat 090.3dm,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Weight Items,,,,,,,,,,,
Object Name,,Material,Weight (kgf),LCG (mm),TCG (mm),VCG (mm),,,Weight Basis,,
"I engine bed, outboard, stbd",,"Al plate, 6061T6, 8mm",10.999,7119.069,1040.760,18.784,,,0.509 m^2,,
"I engine bed, outboard, port",,"Al plate, 6061T6, 8mm",29.348,7265.218,-985.000,-125.300,,,1.359 m^2,,
"I engine bed, inboard, port",,"Al plate, 6061T6, 8mm",46.770,7300.145,-515.000,-207.799,,,2.165 m^2,,
"I engine bed, inboard, port",,"Al plate, 6061T6, 8mm",11.023,7125.350,-459.293,18.631,,,0.510 m^2,,
"I engine bed, outboard, port",,"Al plate, 6061T6, 8mm",10.999,7119.069,-1040.760,18.784,,,0.509 m^2,,
I frame 1,,"Al plate, 6061T6, 4mm",1.263,-600.000,0.000,1275.461,,,0.117 m^2,,
I frame 1,,"Al plate, 6061T6, 4mm",2.204,-600.000,0.000,1256.553,,,0.204 m^2,,
I frame 26,,"Al plate, 6061T6, 4mm",2.948,9400.000,0.000,514.605,,,0.273 m^2,,
I frame 26,,"Al plate, 6061T6, 4mm",4.646,9400.000,0.000,526.921,,,0.430 m^2,,
I frame 24,,"Al plate, 6061T6, 4mm",2.960,8600.000,0.000,518.499,,,0.274 m^2,,
I frame 24,,"Al plate, 6061T6, 4mm",4.657,8600.000,0.000,530.477,,,0.431 m^2,,
I frame 23,,"Al plate, 6061T6, 4mm",2.966,8200.000,0.000,521.451,,,0.275 m^2,,
I frame 23,,"Al plate, 6061T6, 4mm",4.663,8200.000,0.000,532.677,,,0.432 m^2,,
I frame 22,,"Al plate, 6061T6, 4mm",3.046,7815.000,4.717,489.130,,,0.282 m^2,,
I frame 22,,"Al plate, 6061T6, 4mm",4.942,7800.000,0.000,530.267,,,0.458 m^2,,
I frame 21,,"Al plate, 6061T6, 4mm",3.069,7400.000,0.000,495.651,,,0.284 m^2,,
I frame 21,,"Al plate, 6061T6, 4mm",4.954,7400.000,0.000,533.092,,,0.459 m^2,,
I frame 20,,"Al plate, 6061T6, 4mm",2.274,7000.000,0.000,310.947,,,0.211 m^2,,
I frame 20,,"Al plate, 6061T6, 4mm",3.735,7000.000,0.000,356.670,,,0.346 m^2,,
I frame 19,,"Al plate, 6061T6, 4mm",2.118,6600.000,101.805,246.932,,,0.196 m^2,,
I frame 19,,"Al plate, 6061T6, 4mm",0.160,6600.000,-1349.775,1254.612,,,0.015 m^2,,
I frame 19,,"Al plate, 6061T6, 4mm",3.739,6600.000,0.000,361.204,,,0.346 m^2,,
I frame 18,,"Al plate, 6061T6, 4mm",2.283,6200.000,0.000,325.927,,,0.211 m^2,,
I frame 18,,"Al plate, 6061T6, 4mm",3.743,6200.000,0.000,367.737,,,0.347 m^2,,
I frame 17,,"Al plate, 6061T6, 4mm",3.747,5800.000,0.000,376.875,,,0.347 m^2,,
I frame 16,,"Al plate, 6061T6, 4mm",2.296,5415.000,0.000,348.627,,,0.213 m^2,,
I frame 16,,"Al plate, 6061T6, 4mm",3.751,5400.000,0.000,388.734,,,0.347 m^2,,
I frame 14,,"Al plate, 6061T6, 4mm",2.311,4600.000,0.000,379.799,,,0.214 m^2,,
I frame 14,,"Al plate, 6061T6, 4mm",3.754,4600.000,0.000,419.280,,,0.348 m^2,,
I frame 13,,"Al plate, 6061T6, 4mm",2.317,4200.000,0.000,398.718,,,0.215 m^2,,
I frame 13,,"Al plate, 6061T6, 4mm",3.753,4200.000,0.000,437.449,,,0.347 m^2,,
I frame 12,,"Al plate, 6061T6, 4mm",3.038,3800.000,0.000,654.911,,,0.281 m^2,,
I frame 12,,"Al plate, 6061T6, 4mm",4.397,3800.000,0.000,601.216,,,0.407 m^2,,
I frame 11,,"Al plate, 6061T6, 4mm",3.030,3400.000,0.000,677.081,,,0.281 m^2,,
I frame 11,,"Al plate, 6061T6, 4mm",4.386,3400.000,0.000,624.998,,,0.406 m^2,,
I frame 10,,"Al plate, 6061T6, 4mm",4.682,3000.000,0.000,740.745,,,0.434 m^2,,
I frame 10,,"Al plate, 6061T6, 4mm",3.120,3000.000,0.000,767.646,,,0.289 m^2,,
I frame 9,,"Al plate, 6061T6, 4mm",2.983,2600.000,0.000,727.050,,,0.276 m^2,,
I frame 9,,"Al plate, 6061T6, 4mm",4.776,2600.000,0.000,723.762,,,0.442 m^2,,
I frame 8,,"Al plate, 6061T6, 4mm",2.934,2200.000,0.000,752.248,,,0.272 m^2,,
I frame 8,,"Al plate, 6061T6, 4mm",4.490,2200.000,0.000,753.771,,,0.416 m^2,,
I frame 7,,"Al plate, 6061T6, 4mm",2.866,1800.000,0.000,782.275,,,0.265 m^2,,
I frame 7,,"Al plate, 6061T6, 4mm",4.372,1800.000,0.000,785.665,,,0.405 m^2,,
I frame 6,,"Al plate, 6061T6, 4mm",2.771,1400.000,0.000,819.531,,,0.257 m^2,,
I frame 6,,"Al plate, 6061T6, 4mm",4.431,1400.000,0.000,821.302,,,0.410 m^2,,
I frame 4,,"Al plate, 6061T6, 4mm",2.279,600.000,0.000,1061.138,,,0.211 m^2,,
